phenotype,brief_name,var_type,dist_function,default_rank,default_text,category,longitudinal
On beta-blocker,betab,categorical,multinomial('identity'),1,No,meds,Y
On calcium channel blocker,cachblk,categorical,multinomial('identity'),1,No,meds,Y
On daily furosemide equivalent,daily_furo,continuous,gaussian(),0,0,meds,Y
On digoxin,digoxin,categorical,multinomial('identity'),1,No,meds,Y
On direct Xa inhibitor,xa_inhibitor,categorical,multinomial('identity'),1,No,meds,Y
On DM therapy,dm_tx,categorical,multinomial('identity'),1,No,meds,Y
On evidence-based  beta-blocker,bb_evidence,categorical,multinomial('identity'),1,No,meds,Y
On hydralazine,hydral,categorical,multinomial('identity'),1,No,meds,Y
On insulin,insulin,categorical,multinomial('identity'),1,No,meds,Y
On ivabradine,hcn4i,categorical,multinomial('identity'),1,No,meds,Y
On lipid lowering therapy,lipid_lower_tx,categorical,multinomial('identity'),1,No,meds,Y
On long-acting nitrate,nitrate,categorical,multinomial('identity'),1,No,meds,Y
On loop diuretic,loop,categorical,multinomial('identity'),1,No,meds,Y
On MRA,mra,categorical,multinomial('identity'),1,No,meds,Y
On oral anticoagulation,oac,categorical,multinomial('identity'),1,No,meds,Y
On oral hypoglycemic,oral_hypog,categorical,multinomial('identity'),1,No,meds,Y
On other beta-blocker,bb_other,categorical,multinomial('identity'),1,No,meds,Y
On other lipid lowering agent,other_lipid_med,categorical,multinomial('identity'),1,No,meds,Y
On P2Y12 inhibitor,p2y12,categorical,multinomial('identity'),1,No,meds,Y
On statin,statin,categorical,multinomial('identity'),1,No,meds,Y
On thiazide diuretic,thiazide,categorical,multinomial('identity'),1,No,meds,Y
On warfarin,warfarin,categorical,multinomial('identity'),1,No,meds,Y
Pacemaker,ppm,categorical,multinomial('identity'),1,No,procedure,
Peripheral vascular disease,pvd,categorical,multinomial('identity'),1,No,comorbid,
Potassium,k,continuous,gaussian(),,,lab,Y
Prior CABG,cabg,categorical,multinomial('identity'),1,No,procedure,
Prior HF hospitalization,prior_hfh,categorical,multinomial('identity'),1,No,hfchar,
Prior PCI,pci,categorical,multinomial('identity'),1,No,procedure,
Pulmonary vein S/D reversal,pvf_ratio,categorical,multinomial('identity'),1,,imaging,Y
Pulmonary vein S/D value,pvf_ratio_val,continuous,gaussian(),,,imaging,Y
Pulse pressure,pupr,categorical,multinomial('identity'),,,exam,
Pulse pressure value,pupr_val,continuous,gaussian(),,,exam,Y
QRS > 120 ms,qrs_120,categorical,multinomial('identity'),,,comorbid,
