out_column,out_abbreviation,out_long
vtvf,VT/VF,Ventricular tachycardia/fibrillation
six_mw_distm_delta_final,"6MW change, bl to final","6MW change, bl to final"
six_mw_distm_delta_12w,"6MW change, bl to 12w","6MW change, bl to 12w"
six_mw_distm_delta_52w,"6MW change, bl to 52w","6MW change, bl to 52w"
mlhf_total_derive,"MLHF total, derived","MLHF total, derived"
mlhf_total,MLHF total,MLHF total
mlhf_emotional,MLHF emotional,MLHF emotional
mlhf_physical,MLHF physical,MLHF physical
mlhf_total_bl,"MLHF total, bl",MLHF total. Baseline
mlhf_total_delta_12w,"MLHF total, bl to 12w","MLHF total change, bl to 12w"
mlhf_total_delta_52w,"MLHF total, bl to 52w","MLHF total change, bl to 52w"
mlhf_total_delta_final,"MLHF total, bl to final","MLHF total change, bl to final"
mlhf_emotional_bl,"MLHF Emot, bl",MLHF emotional. Baseline
mlhf_emotional_delta_12w,"MLHF Emot, bl to 12w","MLHF emotional change, bl to 12w"
mlhf_emotional_delta_52w,"MLHF Emot, bl to 52w","MLHF emotional change, bl to 52w"
mlhf_emotional_delta_final,"MLHF Emot, bl to final","MLHF emotional change, bl to final"
mlhf_physical_bl,"MLHF Physical, bl",MLHF physical. Baseline
mlhf_physical_delta_12w,"MLHF Physical, bl to 12w","MLHF physical change, bl to 12w"
mlhf_physical_delta_52w,"MLHF Physical, bl to 52w","MLHF physical change, bl to 52w"
mlhf_physical_delta_final,"MLHF Physical, bl to final","MLHF physical change, bl to final"
vas_global,VAS global,VAS global
vas_global_bl,"Global VAS, bl","Global VAS, baseline"
vas_global_bl_12w,"Global VAS, bl to 12 w","Global VAS, baseline to 12 w"
vas_global_bl_52w,"Global VAS, bl to 52 w","Global VAS, baseline to 52 w"
kccq_overall_sum_bl,"Overall summary, bl","KCCQ overall summary, baseline"
kccq_overall_sum,KCCQ Overall Summary,KCCQ overall summary
kccq_clinical_sum,KCCQ Clinical summary,KCCQ clinical summary
kccq_clin_sum_bl,"Clinical summary, bl","KCCQ clinical summary, baseline"
kccq_tot_sym,KCCQ Total symptoms,KCCQ total symptoms
kccq_total_sym_bl,"Total symptoms, bl","KCCQ total symptoms, baseline"
kccq_sym_freq,Symptom frequency,KCCQ symptom frequency
kccq_sym_freq_bl,"Symptom frequency, bl","KCCQ symptom frequency, baseline"
kccq_sym_burd,Symptom burden,KCCQ symptom burden
kccq_sym_burd_bl,"Symptom burden, bl","KCCQ symptom burden, baseline"
kccq_sym_stab,Symptom stability,KCCQ symptom stability
kccq_symp_stab_bl,"Symptom stability, bl","KCCQ symptom stability, baseline"
kccq_phys_lim,Physical limit,KCCQ physical limitation
kccq_phys_lim_bl,"Physical limit, bl","KCCQ physical limit, baseline"
kccq_self_eff,Self efficacy,KCCQ self efficacy
kccq_self_eff_bl,"Self efficacy, bl","KCCQ self efficacy, baseline"
kccq_qol,KCCQ QOL,KCCQ quality of life
kccq_qol_bl,"Quality of life, bl","KCCQ quality of life, baseline"
kccq_soc_lim_bl,"Social limit, bl","KCCQ social limit, baseline"
kccq_overall_sum_delta_12w,"KCCQ overall, bl to 12w","KCCQ overall summary, baseline  to 12w"
kccq_overall_sum_delta_52w,"KCCQ overall, bl to 52w","KCCQ overall summary, baseline  to 52w"
kccq_overall_sum_delta_final,"KCCQ overall, bl to final","KCCQ overall summary, baseline  to final"
kccq_clin_sum_delta_12w,"KCCQ clinical, bl to 12w","KCCQ clinical summary, baseline  to 12w"
kccq_clin_sum_delta_52w,"KCCQ clinical, bl to 52w","KCCQ clinical summary, baseline  to 52w"
kccq_clin_sum_delta_final,"KCCQ clinical, bl to final","KCCQ clinical summary, baseline  to final"
kccq_total_sym_delta_12w,"KCCQ tot sympt, bl to 12w","KCCQ total symptoms, baseline  to 12w"
kccq_total_sym_delta_52w,"KCCQ tot sympt, bl to 52w","KCCQ total symptoms, baseline  to 52w"
kccq_total_sym_delta_final,"KCCQ tot sympt, bl to final","KCCQ total symptoms, baseline  to final"
kccq_sym_freq_delta_12w,"KCCQ symp freq, bl to 12w","KCCQ symptom frequency, baseline  to 12w"
kccq_sym_freq_delta_52w,"KCCQ symp freq, bl to 52w","KCCQ symptom frequency, baseline  to 52w"
kccq_sym_freq_delta_final,"KCCQ symp freq, bl to final","KCCQ symptom frequency, baseline  to final"
kccq_sym_burd_delta_12w,"KCCQ symp burd, bl to 12w","KCCQ symptom burden, baseline  to 12w"
kccq_sym_burd_delta_52w,"KCCQ symp burd, bl to 52w","KCCQ symptom burden, baseline  to 52w"
kccq_sym_burd_delta_final,"KCCQ symp burd, bl to final","KCCQ symptom burden, baseline  to final"
kccq_symp_stab_delta_12w,"KCCQ symp stab, bl to 12w","KCCQ symptom stability, baseline  to 12w"
kccq_symp_stab_delta_52w,"KCCQ symp stab, bl to 52w","KCCQ symptom stability, baseline  to 52w"
kccq_symp_stab_delta_final,"KCCQ symp stab, bl to final","KCCQ symptom stability, baseline  to final"
kccq_phys_lim_delta_12w,"KCCQ phys limit, bl to 12w","KCCQ physical limits, baseline  to 12w"
kccq_phys_lim_delta_52w,"KCCQ phys limit, bl to 52w","KCCQ physical limits, baseline  to 52w"
kccq_phys_lim_delta_final,"KCCQ phys limit, bl to final","KCCQ physical limits, baseline  to final"
