phenotype,brief_name,var_type,dist_function,default_rank,default_text
Weight - kg,weight_kg,continuous,gaussian(),,
Weight loss (frailty),weightloss_frailty,continuous,gaussian(),,
Witnessed apnea,wit_apnea,categorical,multinomial('identity'),,
Work status,work,categorical,multinomial('identity'),,
Years married,yrs_married,continuous,gaussian(),,
Years of menses,yrs_menses,continuous,gaussian(),,
Years of school,yrs_school,continuous,gaussian(),,
Years of school - father,yrs_school_f,continuous,gaussian(),,
Years of school - mother,yrs_school_m,continuous,gaussian(),,
Years of school - partner,yrs_school_p,continuous,gaussian(),,
Years on birth control pills,ocp_years,continuous,gaussian(),,
Years taking HRT,hrt_years,continuous,gaussian(),,
Oophorectomy,oophor,categorical,multinomial('identity'),,
LV end systolic wall stress,lv_esws,continuous,gaussian(),,
